text,label,category,channel
"สวัสดีครับ ผมชื่อสมชาย ใจดี ครับ",0,แนะนำตัว,call
"ดิฉันชื่อ มณีรัตน์ ทรัพย์เจริญ ค่ะ ยินดีที่ได้รู้จัก",0,แนะนำตัว,call
"ผมชื่อ ทองดี มีสุข ครับ",0,แนะนำตัว,call
"สวัสดีค่ะ ดิฉันชื่อ เงินตรา รุ่งเรือง ค่ะ",0,แนะนำตัว,call
"นายรวยทรัพย์ โชคดี พูดสายครับ",0,แนะนำตัว,call
"นางสาวบุญมา ทองคำ ค่ะ ไม่ทราบว่าโทรมาจากไหนคะ",0,แนะนำตัว,call
"ผมชัยพร เงินมั่น ครับ ยินดีที่ได้รู้จักนะครับ",0,แนะนำตัว,call
"ไม่ทราบว่าคุณทวีศักดิ์ ทรัพย์สิน อยู่ไหมครับ",0,แนะนำตัว,call
"หนูชื่อ พรพรรณ มั่งมี ค่ะ เป็นนักเรียนชั้นม.หกค่ะ",0,แนะนำตัว,call
"ผมชื่อ โชคชัย เจริญทรัพย์ มาส่งของที่สั่งไว้ครับ",0,แนะนำตัว,call
"สวัสดีครับ ครูชื่อ เงินยวง สอนวิชาคณิตศาสตร์นะครับ",0,แนะนำตัว,call
"นี่คุณทองสุข ใช่ไหมคะ หนูโทรมาจากร้านขายยาค่ะ",0,แนะนำตัว,call
"ผมชื่อ บุญเลิศ รวยเงิน เป็นเพื่อนเก่าของคุณพ่อครับ",0,แนะนำตัว,call
"ดิฉันชื่อ มณี ทองพูน เป็นพยาบาลที่คลินิกค่ะ",0,แนะนำตัว,call
"สวัสดีครับ ผมเป็นช่างชื่อ ทรัพย์ มาซ่อมแอร์ตามนัดครับ",0,แนะนำตัว,call
"พี่ทองคำ ฝากบอกว่าเย็นนี้มากินข้าวที่บ้านด้วยนะ",0,ครอบครัว,chat
"น้องโชคดี สอบได้ที่หนึ่งเลยนะ เก่งมากเลยลูก",0,ครอบครัว,chat
"คุณยายเงินยวง สบายดีไหมครับ ไม่ได้เจอกันนานเลย",0,ครอบครัว,call
"อาจารย์ทวีทรัพย์ ครับ ผมขอส่งงานช้าหน่อยได้ไหมครับ",0,เรียน,chat
"เพื่อนผมชื่อ รวย กับ โชค สองคนนี้ตลกมากเลย",0,เพื่อน,chat
"สวัสดีค่ะ ดิฉันนางสาว สมหญิง ทรัพย์มาก ติดต่อเรื่องสมัครงานค่ะ",0,แนะนำตัว,call
"ผมชื่อ พรเทพ เงินงาม ครับ โทรมาชวนไปทำบุญที่วัดวันอาทิตย์",0,แนะนำตัว,call
"คุณทอง อยู่บ้านไหมครับ พอดีมีของมาส่งครับ",0,แนะนำตัว,call
"หลานชื่อ ทรัพย์สิน ครับ มารับคุณตากลับบ้านครับ",0,ครอบครัว,call
"สวัสดีครับ ผมชื่อสมศักดิ์ โทรจากกองปราบนะครับ บัญชีคุณพัวพันคดีฟอกเงิน ต้องโอนเงินมาตรวจสอบด่วน",1,ตำรวจ,call
"ดิฉันชื่อ มณี เจ้าหน้าที่ธนาคารค่ะ บัญชีคุณถูกระงับ กรุณาแจ้งรหัส OTP ด่วนค่ะ",1,ธนาคาร,call
"ผมชื่อ ทองดี ครับ แจ้งว่ามีพัสดุตกค้าง กดลิงก์ชำระค่าปรับภายในวันนี้",1,พัสดุ,sms
"สวัสดีค่ะ ดิฉันชื่อ โชคดี นะคะ คุณได้รับรางวัลใหญ่ กรุณาโอนค่าภาษีก่อนรับเงิน",1,รางวัล,call
"ผมชื่อ ทรัพย์ทวี ครับ ชวนคุณลงทุนการันตีกำไรสามสิบเปอร์เซ็นต์ โอนทุนมาเลยครับ",1,ลงทุน,chat
"นางสาวบุญรอด เจ้าหน้าที่กรมสรรพากรค่ะ คุณได้คืนภาษี กรอกเลขบัตรและบัญชีผ่านลิงก์ด่วน",1,หน่วยงาน,sms
