text,label,category,channel
"พัสดุของคุณตกค้างที่ศูนย์คัดแยกเนื่องจากที่อยู่ไม่ครบ กรุณากดลิงก์อัปเดตข้อมูลภายใน 24 ชั่วโมงไม่งั้นถูกตีกลับ",1,พัสดุ,sms
"เจ้าหน้าที่ไปรษณีย์ค่ะ พัสดุระหว่างประเทศของคุณติดภาษีศุลกากร 480 บาท โอนเข้าบัญชีนี้เพื่อรับของนะคะ",1,พัสดุ,call
"แจ้งเตือนระบบขนส่ง พัสดุหมายเลข TH8842 ส่งไม่สำเร็จ กรุณายืนยันที่อยู่และกรอกข้อมูลบัตรผ่านลิงก์ทันที",1,พัสดุ,sms
"สวัสดีครับ โทรจากบริษัทขนส่ง พัสดุคุณมีปัญหาที่ด่านศุลกากร ตรวจพบของผิดกฎหมาย ต้องโอนค่าปรับก่อนไม่งั้นแจ้งตำรวจ",1,พัสดุ,call
"ผมเจ้าหน้าที่ตำรวจกองปราบ พบว่าบัญชีของคุณเกี่ยวข้องกับขบวนการฟอกเงิน ต้องโอนเงินมาตรวจสอบเพื่อพิสูจน์ความบริสุทธิ์",1,ตำรวจ,call
"นี่คือหมายเรียกจาก ปปง คุณมีส่วนพัวพันคดีฟอกเงิน หากไม่ติดต่อกลับภายในวันนี้จะออกหมายจับทันที",1,ตำรวจ,call
"เราตรวจพบว่าเลขบัตรประชาชนของคุณถูกใช้เปิดบัญชีผิดกฎหมาย กรุณาโอนเงินทั้งหมดมายังบัญชีกลางเพื่อตรวจสอบ",1,ตำรวจ,call
"ดิฉันเจ้าหน้าที่ดีเอสไอ คดีของคุณเป็นความลับห้ามบอกใคร ให้โอนเงินเข้าบัญชีนี้เพื่อกันไว้เป็นหลักฐานก่อน",1,ตำรวจ,call
"กรมศุลกากรแจ้ง พบพัสดุผิดกฎหมายในชื่อคุณ ขอให้รายงานตัวผ่านวิดีโอคอลและแจ้งข้อมูลบัญชีธนาคารทันที",1,ตำรวจ,call
"ธนาคารแจ้งเตือน บัญชีของท่านถูกระงับชั่วคราว กรุณายืนยันตัวตนผ่านลิงก์เพื่อปลดล็อกทันที",1,ธนาคาร,sms
"ตรวจพบรายการผิดปกติในบัตรเครดิตของคุณ กดลิงก์เพื่อยกเลิกรายการภายใน 15 นาที ไม่งั้นถูกตัดเงิน",1,ธนาคาร,sms
"สวัสดีค่ะ โทรจากฝ่ายความปลอดภัยธนาคาร มีคนพยายามเข้าบัญชีคุณ กรุณาแจ้งรหัส OTP ที่ได้รับเพื่อระงับด่วน",1,ธนาคาร,call
"คะแนนสะสมบัตรของคุณกำลังจะหมดอายุ กดลิงก์เพื่อแลกเป็นเงินสดและยืนยันข้อมูลบัตรเครดิต",1,ธนาคาร,sms
"ระบบพบการเข้าสู่ระบบจากอุปกรณ์แปลกปลอม กรุณายืนยันรหัสผ่านและรหัส OTP กับเจ้าหน้าที่ทางสายนี้",1,ธนาคาร,call
"อนุมัติเงินกู้ 50000 ดอกเบี้ย 0 เปอร์เซ็นต์ ไม่ต้องค้ำ กดลิงก์สมัครและโอนค่าธรรมเนียมดำเนินการก่อน 1500 บาท",1,เงินกู้,sms
