text,label,category,channel
"คุณครับ ช่วยหยิบของให้หน่อยได้ไหมครับ",0,เรียกขาน,call
"คุณคะ ได้ยินไหมคะ สายไม่ค่อยชัดเลย",0,เรียกขาน,call
"พี่ครับ รอผมแป๊บนึงนะครับ เดี๋ยวมา",0,เรียกขาน,call
"น้องครับ ฝากของไว้ให้พี่ด้วยนะ",0,เรียกขาน,call
"เดี๋ยวนะคุณ ขอคิดดูก่อนนะ",0,เรียกขาน,chat
"คุณนั่นแหละ ช่วยปิดประตูหน่อยได้ไหม",0,เรียกขาน,call
"คุณว่าไงดีครับเรื่องนี้ ผมยังไม่แน่ใจ",0,เรียกขาน,chat
"ขอบคุณคุณมากเลยนะที่ช่วย",0,เรียกขาน,chat
"คุณมาถึงหรือยังครับ ผมรออยู่หน้าร้าน",0,เรียกขาน,call
"พี่ ๆ ช่วยดูทางให้หน่อยได้ไหม",0,เรียกขาน,call
"คุณ สมศรี อยู่บ้านไหมครับ พอดีมาหา",0,เรียกขาน,call
"คุณคนนั้นน่ารักดีนะ ว่าไหม",0,เรียกขาน,chat
"ผมชื่อ ก้องภพ สุขสวัสดิ์ ครับ",0,แนะนำตัว,call
"ดิฉันชื่อ ปิยะดา แสงจันทร์ ค่ะ",0,แนะนำตัว,call
"หนูชื่อ ธนภัทร ใจงาม ครับ เป็นนักเรียนชั้นม.ห้า",0,แนะนำตัว,call
"ผมชื่อ อนุชา พงษ์ไพบูลย์ ยินดีที่ได้รู้จักครับ",0,แนะนำตัว,call
"สวัสดีค่ะ ดิฉัน วรรณวิสา ดีงาม ติดต่อเรื่องนัดหมายค่ะ",0,แนะนำตัว,call
"ผมชื่อ ณัฐวุฒิ ครับ เป็นรุ่นพี่ที่โรงเรียน",0,แนะนำตัว,call
"นางสาว กชกร พิมพ์ใจ พูดสายค่ะ",0,แนะนำตัว,call
"ครูชื่อ พัชราภา สอนภาษาอังกฤษนะคะ",0,แนะนำตัว,call
"ผมชื่อ ธีรเดช เป็นไรเดอร์มาส่งของครับ",0,แนะนำตัว,call
"เพื่อนใหม่ผมชื่อ มินตรา กับ ปุณณภา ครับ",0,แนะนำตัว,chat
"คุณลูกค้าคะ บัญชีของคุณถูกอายัด กรุณาโอนเงินมาตรวจสอบด่วน",1,ธนาคาร,call
"เรียนคุณ คุณได้รับรางวัลใหญ่ กรุณาโอนค่าภาษีก่อนรับเงิน",1,รางวัล,sms
"คุณครับ พบว่ามีพัสดุผิดกฎหมายในชื่อคุณ ต้องโอนค่าปรับด่วน",1,ตำรวจ,call
"คุณคะ กดลิงก์ยืนยันตัวตนและแจ้งรหัส OTP ด่วนนะคะ",1,ฟิชชิง,sms
